,Word,Probability,Topic
0,speech,-0.22153763070580088,bush
1,immigrant,-0.13226402042535204,bush
2,airline,-0.08479226498561744,bush
3,missile,-0.07297529159633,bush
4,school,-0.013353489883083472,bush
0,debate,0.4671585084138508,bush
1,drug,0.269722596481194,bush
2,doughnut,0.006042093577423297,bush
0,convention,-0.2445556313924936,gore
1,party,-0.19336969916928107,gore
2,delegate,-0.18026760013699095,gore
3,missile,-0.07297529159633,gore
4,stock,-0.0063307171624487485,gore
0,debate,0.4671585084138508,gore
1,oil,0.24000592562023643,gore
2,bush,0.02037089961487877,gore
3,teacher,0.018116499244389194,gore
0,statue,-0.14937904009841588,campaign
1,planet,-0.1436321650884668,campaign
2,immigrant,-0.13226402042535204,campaign
3,clinton,-0.11117622535744855,campaign
4,mets,-0.10908424741364747,campaign
5,voter,-0.07737008955233812,campaign
6,cheney,-0.024551449699492574,campaign
0,debate,0.4671585084138508,campaign
1,pressman,0.267083746326193,campaign
0,convention,-0.2445556313924936,clinton
1,speech,-0.22153763070580088,clinton
2,party,-0.19336969916928107,clinton
3,missile,-0.07297529159633,clinton
4,jones,-0.01706378539783092,clinton
0,pressman,0.267083746326193,clinton
1,defense,0.15255057222986265,clinton
2,tire,0.14918830536047664,clinton
3,judge,0.10257940596211286,clinton
4,campaign,0.058870271663632255,clinton
5,gore,0.00187218157912592,clinton
